junction	WT1	WT2	WT3	WT4	KD1	KD2	WT_mean	KD_mean	deltaPSI
TGME49_chrIa:21043:21163:clu_2_NA	1.77514792899408	1.31004366812227	1.47783251231527	2.94117647058824	6.97674418604651	4.5662100456621	1.87605014500496	5.77147711585431	3.89542697084934
TGME49_chrIa:48197:48615:clu_5_NA	40.6976744186046	41.5966386554622	42.6415094339623	38.6996904024768	41.5282392026578	46.5671641791045	40.9088782276265	44.0477016908811	3.13882346325467
TGME49_chrIa:48740:49064:clu_5_NA	54.2635658914729	54.6218487394958	54.3396226415094	53.5603715170279	55.1495016611296	50.4477611940299	54.1963521973765	52.7986314275797	-1.39772076979678
TGME49_chrIa:140966:141646:clu_9_NA	98.9637305699482	99.4059405940594	99.5735607675906	99.554565701559	100	99.8233215547703	99.3744494082893	99.9116607773852	0.537211369095843
TGME49_chrIa:141885:142339:clu_10_NA	99.5327102803738	99.21875	99.5726495726496	99.4117647058823	98.9247311827957	99.6509598603839	99.4339686397264	99.2878455215898	-0.146123118136614
TGME49_chrIa:143400:144280:clu_11_NA	99.6	99.4047619047619	99.6402877697842	98.780487804878	100	99.7555012224939	99.356384369856	99.8777506112469	0.521366241390908
TGME49_chrIa:277934:278481:clu_14_NA	0.34965034965035	0.297619047619048	0.961538461538462	0.795053003533569	3.28031809145129	3.59869138495093	0.600965215585357	3.43950473820111	2.83853952261575
TGME49_chrIa:278857:279769:clu_15_NA	12.157721796276	10.5038428693424	11.9585687382298	11.8305355715428	8.12086874409821	8.40867992766727	11.6126672438477	8.26477433588274	-3.34789290796501
TGME49_chrIa:278857:280035:clu_15_NA	60.460021905805	62.0836891545687	62.4293785310734	62.589928057554	68.4608120868744	69.2585895117541	61.8907544122503	68.8597007993142	6.96894638706394
TGME49_chrIa:345463:346099:clu_16_NA	37.5	44	57.8947368421053	45	100	0	46.0986842105263	50	3.90131578947368
TGME49_chrIa:345615:346099:clu_16_NA	62.5	56	42.1052631578947	55	0	100	53.9013157894737	50	-3.90131578947368
TGME49_chrIa:439381:440167:clu_18_NA	99.0654205607477	97.5609756097561	97.4789915966387	97.5903614457831	96.3414634146341	92.2077922077922	97.9239373032314	94.2746278112132	-3.6493094920182
TGME49_chrIa:442519:443899:clu_19_NA	61.1111111111111	62.1176470588235	60.4105571847507	57.8947368421053	57.286432160804	65.3409090909091	60.3835130491977	61.3136706258566	0.9301575766589
TGME49_chrIa:444056:444702:clu_19_NA	38.8888888888889	37.8823529411765	39.5894428152493	39.9521531100478	42.713567839196	34.0909090909091	39.0782094388406	38.4022384650525	-0.675970973788083
TGME49_chrIa:447093:447939:clu_20_NA	100	100	100	100	95.8333333333333	91.8918918918919	100	93.8626126126126	-6.13738738738738
TGME49_chrIa:450603:451092:clu_21_NA	100	98.1132075471698	93.1034482758621	100	100	90.4761904761905	97.804163955758	95.2380952380952	-2.56606871766273
TGME49_chrIa:506153:506373:clu_24_NA	94.5454545454545	92.6470588235294	97.0149253731343	87.1428571428571	90.625	93.1034482758621	92.8375739712439	91.864224137931	-0.973349833312824
TGME49_chrIa:506778:507297:clu_25_NA	89.2307692307692	91.1504424778761	90.9090909090909	82.2429906542056	88	94.2307692307692	88.3833233179855	91.1153846153846	2.73206129739916
TGME49_chrIa:525795:525912:clu_26_NA	31.6363636363636	32.1608040201005	29.2191435768262	28.6069651741293	27.7777777777778	25.7425742574257	30.4058191018549	26.7601760176018	-3.64564308425316
TGME49_chrIa:540780:541787:clu_27_NA	1.7515923566879	2.7027027027027	2.20588235294118	1.7743979721166	0.161290322580645	0.847457627118644	2.1086438461121	0.504373974849645	-1.60426987126245
TGME49_chrIa:551173:551704:clu_29_NA	98.2758620689655	98.5507246376812	96.551724137931	95.9459459459459	100	100	97.3310641976309	100	2.66893580236909
TGME49_chrIa:603643:604359:clu_33_NA	100	94.4444444444444	100	100	97.1428571428571	93.0232558139535	98.6111111111111	95.0830564784053	-3.5280546327058
TGME49_chrIa:619760:620333:clu_34_NA	99.3740219092332	99.783315276273	98.9650711513583	99.6932515337423	100	99.8881431767338	99.4539149676517	99.9440715883669	0.490156620715169
TGME49_chrIa:697676:698235:clu_37_NA	99.878197320341	99.3150684931507	99.774011299435	99.7167138810198	99.2810065907729	99.8133167392657	99.6709977484866	99.5471616650193	-0.123836083467324
TGME49_chrIa:698457:698890:clu_38_NA	41.9727891156463	42.8262046561992	43.2518597236982	41.9493549928333	44.8486799742434	44.5366987711724	42.5000521220942	44.6926893727079	2.19263725061364
TGME49_chrIa:698947:699255:clu_38_NA	54.1496598639456	52.0844612885761	53.2412327311371	53.5594839942666	53.058596265293	52.507472600465	53.2587094694813	52.783034432879	-0.475675036602361
TGME49_chrIa:699562:699991:clu_39_NA	98.8576449912127	99.5118549511855	99.7286295793758	98.9123480486244	99.4930875576037	99.1525423728814	99.2526193925996	99.3228149652425	0.070195572642902
TGME49_chrIa:701978:702603:clu_40_NA	59.6325167037862	60.0536193029491	56.8091451292246	59.5305164319249	57.1473061351604	57.8381606449687	59.0064493919712	57.4927333900645	-1.51371600190667
