logFC	logCPM	F	PValue	FDR
TGME49_chrVIII:5312363:5312474:clu_1559_NA	-1.56361297692659	11.9531789545113	774.536236052043	8.60722587602505e-24	2.09504096873545e-20
TGME49_chrVIII:2899954:2901357:clu_1464_NA	-4.37093838431378	8.26204539223035	760.135762007981	1.15270479710341e-23	2.09504096873545e-20
TGME49_chrIX:2657657:2657893:clu_1795_NA	-1.11382272479738	13.5363536072713	551.632646832491	1.4402832986439e-21	1.47752998085079e-18
TGME49_chrIX:2154802:2155161:clu_1770_NA	-2.3616447138936	9.13323684419916	547.18801466692	1.62589268869413e-21	1.47752998085079e-18
TGME49_chrVIIa:1019679:1020860:clu_891_NA	-1.66788961753748	10.6173471576462	479.846009352468	1.15114952166662e-20	8.36885702251631e-18
TGME49_chrX:6248310:6248922:clu_2236_NA	-2.01823068531117	9.47333804273419	470.568620890959	1.53816409124561e-20	9.31871078612968e-18
TGME49_chrVIIa:3911021:3911235:clu_1042_NA	-4.4178888405679	7.75090882083203	456.358676095847	2.46075421045602e-20	1.27783450785823e-17
TGME49_chrVIII:6796719:6797500:clu_1639_NA	-0.973348476584987	13.3072705451642	432.298053045719	5.39383698546909e-20	2.45082468027252e-17
TGME49_chrVIIb:3115308:3116281:clu_1248_NA	-1.21228876725963	11.4704658161481	383.85776051268	3.09173630278745e-19	1.24871794007027e-16
TGME49_chrIb:713358:713699:clu_135_NA	-1.40666271315361	10.6335749472796	375.775834912002	4.21990884571885e-19	1.5339368654188e-16
TGME49_chrVIIa:1731780:1731884:clu_929_NA	-0.916597920915603	12.7543301270589	324.135947399973	3.61138475312678e-18	1.19339850705599e-15
TGME49_chrX:870984:871226:clu_1972_NA	-0.780594148827677	15.5724805304778	315.209926404395	5.40149350772159e-18	1.63620240838066e-15
TGME49_chrVIII:2215932:2216660:clu_1423_NA	-3.57914849557227	7.17987288290021	305.775248752306	8.43997596850292e-18	2.35994712657755e-15
TGME49_chrXII:246743:248174:clu_2600_NA	-2.09649276979192	8.29052033134275	287.533922005808	2.01819427267983e-17	5.24009727227941e-15
TGME49_chrVIII:2215135:2215463:clu_1422_NA	-5.69186093288023	6.23448394939568	268.26153800014	2.20638048273638e-17	5.34679536983116e-15
TGME49_chrVIII:6625076:6625396:clu_1628_NA	-2.60499052720447	7.55860103197112	284.222262308932	2.38339873013948e-17	5.41478399003564e-15
TGME49_chrIII:376645:377387:clu_348_NA	-3.12815005254947	7.12634776343279	277.486594690065	3.36633194781663e-17	7.19800978253732e-15
TGME49_chrIX:3381980:3382413:clu_1836_NA	-0.992078594938219	11.8677027375834	271.800774133066	4.49580413610543e-17	9.07902668596847e-15
TGME49_chrVIIa:1732102:1732213:clu_930_NA	-0.84769748298091	12.7464103034098	255.327759250336	1.0892589639385e-16	2.08126509341677e-14
TGME49_chrXI:3804517:3804877:clu_2433_NA	-1.19598654664307	10.0255440517592	254.424346202596	1.14512522333798e-16	2.08126509341677e-14
TGME49_chrIX:3521200:3521671:clu_1844_NA	-1.22655489338049	10.0606417971799	250.207377458602	1.44919198539575e-16	2.50848231757788e-14
TGME49_chrVIIa:1732520:1732713:clu_931_NA	-0.875113850825206	12.7568071348292	239.625364800279	2.65879796967607e-16	4.39305937262387e-14
TGME49_chrIa:698457:698890:clu_38_NA	-0.95396813204498	11.136219103074	231.693105906772	4.25715871840413e-16	6.47199404825097e-14
TGME49_chrVIIb:3114572:3114994:clu_1247_NA	-0.927961256564029	11.6658911574261	231.630975275587	4.27311849127987e-16	6.47199404825097e-14
TGME49_chrVIIa:3007483:3008182:clu_1002_NA	-1.18403618001001	9.71525028503429	218.782819091883	9.45098624621123e-16	1.37417340019911e-13
TGME49_chrIa:702984:703331:clu_41_NA	-0.905922403155628	11.2257997947766	216.672060028729	1.08090613381636e-15	1.51118992170095e-13
TGME49_chrIa:697676:698235:clu_37_NA	-0.919859907026195	11.4082166875619	213.607908239862	1.31629356271968e-15	1.77212114832816e-13
TGME49_chrIa:698947:699255:clu_38_NA	-0.869183646124549	11.4202917161337	209.37193052603	1.73550914437662e-15	2.2530627642175e-13
TGME49_chrV:1149893:1151229:clu_593_NA	-1.38822155546514	9.391775749782	205.758452778854	2.20581130277373e-15	2.7648703743388e-13
TGME49_chrIII:943313:943629:clu_374_NA	-1.80980370954418	8.2289223109446	204.756916838407	2.35925993080187e-15	2.76917648822682e-13
TGME49_chrIa:703441:703665:clu_41_NA	-0.81988636064294	11.6434317583955	204.402542110528	2.41559753515573e-15	2.76917648822682e-13
TGME49_chrIa:699562:699991:clu_39_NA	-0.787530913098129	11.9031096860006	204.266568759048	2.43778948069487e-15	2.76917648822682e-13
TGME49_chrIX:4396383:4396704:clu_1877_NA	-0.756536026384722	12.4987486307496	197.943597478681	3.7521183492838e-15	4.13301521201412e-13
TGME49_chrVIIa:3796461:3797226:clu_1034_NA	-3.28398003967913	6.57321867495485	196.379712811959	4.24602880902157e-15	4.53950432964512e-13
